Header,Description,Requirements,Tasks,Pluses,Raw text
Разработчик универсальных автопарсеров в Поиск,"Автопарсер — универсальный парсер структурированных данных из интернета. Во многих сферах необходимо получать структурированные данные, например данные обо всех товарах всех интернет-магазинов: название, картинка, цена, доступность, описание и т. д. Наша команда делает этот процесс максимально эффективным.Мы поставляем данные для сервисов Яндекса: различным компонентам Поиска, Рекламной сети Яндекса и Картинкам. Такое большое количество потребителей данных заставляет делать решение более универсальным и масштабируемым, а также искать новые идеи и подходы для парсинга особо сложных документов.Несмотря на то, что для парсинга используются продвинутые алгоритмы машинного обучения, наша основа — инфраструктура всего сервиса, которая позволяет получать данные от робота Яндекса в реальном времени и так же быстро доставлять результаты до всех «уголков» Яндекса. Появление новых моделей заставляет бэкенд-часть команды придумывать новые подходы к обработке документов, в том числе за счет значительного улучшения инфраструктуры. Мы активно расширяемся, так как сфер становится все больше, и ищем людей, которые помогут нам сделать лучший универсальный парсинг.","• уверенно владеете C++ или готовы на него перейти
• имеете опыт коммерческой разработки на С++ или Python
• знаете классические алгоритмы и структуры данных","• писать на C++
• создавать компоненты высоконагруженной контент-системы
• разрабатывать факторы и обучать модели
• придумывать и внедрять метрики и мониторинги качества
• предлагать идеи для улучшения продуктов","• имеете опыт в ML, особенно в NLP","Разработчик универсальных автопарсеров в Поиск

Автопарсер — универсальный парсер структурированных данных из интернета. Во многих сферах необходимо получать структурированные данные, например данные обо всех товарах всех интернет-магазинов: название, картинка, цена, доступность, описание и т. д. Наша команда делает этот процесс максимально эффективным.Мы поставляем данные для сервисов Яндекса: различным компонентам Поиска, Рекламной сети Яндекса и Картинкам. Такое большое количество потребителей данных заставляет делать решение более универсальным и масштабируемым, а также искать новые идеи и подходы для парсинга особо сложных документов.Несмотря на то, что для парсинга используются продвинутые алгоритмы машинного обучения, наша основа — инфраструктура всего сервиса, которая позволяет получать данные от робота Яндекса в реальном времени и так же быстро доставлять результаты до всех «уголков» Яндекса. Появление новых моделей заставляет бэкенд-часть команды придумывать новые подходы к обработке документов, в том числе за счет значительного улучшения инфраструктуры. Мы активно расширяемся, так как сфер становится все больше, и ищем людей, которые помогут нам сделать лучший универсальный парсинг.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• уверенно владеете C++ или готовы на него перейти
• имеете опыт коммерческой разработки на С++ или Python
• знаете классические алгоритмы и структуры данных

ВАШИ ЗАДАЧИ:
• писать на C++
• создавать компоненты высоконагруженной контент-системы
• разрабатывать факторы и обучать модели
• придумывать и внедрять метрики и мониторинги качества
• предлагать идеи для улучшения продуктов

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• имеете опыт в ML, особенно в NLP"
Разработчик на С++ в Поиск,"В группе разработки подсказок мы работаем над поисковым саджестом — возможностью быстро, точно и с минимальными усилиями ввести свой поисковый запрос. А еще мы развиваем поисковые рекомендации, чтобы пользователи могли уточнять и расширять свои поисковые намерения.
Мы ищем разработчика, который усилит нашу команду.","• программируете на C++
• разбираетесь в классических алгоритмах и структурах данных;
• знаете основные методы ML и типичные подходы к решению соответствующих задач","• обучать и внедрять новые и совершенствовать существующие модели
• увеличивать покрытие с помощью добавления новых источников данных
• улучшать фильтрацию нерелевантных и нежелательных подсказок
• бороться с дублированием
• реализовывать продуктовую логику","• знаете Python
• занимались NLP
• вели разработку в Unix-среде
• писали многопоточные программы","Разработчик на С++ в Поиск

В группе разработки подсказок мы работаем над поисковым саджестом — возможностью быстро, точно и с минимальными усилиями ввести свой поисковый запрос. А еще мы развиваем поисковые рекомендации, чтобы пользователи могли уточнять и расширять свои поисковые намерения.
Мы ищем разработчика, который усилит нашу команду.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• программируете на C++
• разбираетесь в классических алгоритмах и структурах данных;
• знаете основные методы ML и типичные подходы к решению соответствующих задач

ВАШИ ЗАДАЧИ:
• обучать и внедрять новые и совершенствовать существующие модели
• увеличивать покрытие с помощью добавления новых источников данных
• улучшать фильтрацию нерелевантных и нежелательных подсказок
• бороться с дублированием
• реализовывать продуктовую логику

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• знаете Python
• занимались NLP
• вели разработку в Unix-среде
• писали многопоточные программы"
Разработчик на Java в команду разработки конфигуратора,"В Яндексе есть целый спектр финансовых систем: своя учетная система, биллинг и тарификатор, платежный и банковские шлюзы. Совместно эти системы обрабатывают все финансовые потоки Яндекса — всех организаций во всех странах, где мы работаем.
Сейчас запуск нового бизнеса — это сложный процесс, который должен быть правильно разложен по всем финансовым системам. В этом процессе участвует много людей из разных подразделений, знания и данные передаются из рук в руки и часто теряются в пути. Мы хотим это изменить и сделать процесс автоматизированным — как сбор данных для запуска, так и настройку и тестирование всех систем. Поэтому для развития нашего сервиса в одну из наших команд нужен опытный разработчик на Java (стек: Spring, Spring Boot, Security), который знаком с SQL и реляционными БД.","• программируете на Java в стеке Spring, Spring Boot, Security
• знаете SQL и работали с реляционными базами данных
• аккуратны и внимательны к деталям
• умеете тестировать собственный код и пишете юнит-тесты
• самостоятельны в проработке технических и архитектурных решений","• разрабатывать инфраструктуру для настройки учетной системы Яндекса
• строить инфраструктуру автоматического сквозного тестирования от любого сервиса Яндекса до учетной системы
• погружаться в бизнес-процессы финансовой инфраструктуры
• развивать сервисы с помощью технологического стека: Java, PostgreSQL, Yandex.Deploy, YandexTable","• работали с Docker
• применяли на практике методологию DevOps
• имеете опыт в разработке финансовых систем","Разработчик на Java в команду разработки конфигуратора

В Яндексе есть целый спектр финансовых систем: своя учетная система, биллинг и тарификатор, платежный и банковские шлюзы. Совместно эти системы обрабатывают все финансовые потоки Яндекса — всех организаций во всех странах, где мы работаем.
Сейчас запуск нового бизнеса — это сложный процесс, который должен быть правильно разложен по всем финансовым системам. В этом процессе участвует много людей из разных подразделений, знания и данные передаются из рук в руки и часто теряются в пути. Мы хотим это изменить и сделать процесс автоматизированным — как сбор данных для запуска, так и настройку и тестирование всех систем. Поэтому для развития нашего сервиса в одну из наших команд нужен опытный разработчик на Java (стек: Spring, Spring Boot, Security), который знаком с SQL и реляционными БД.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• программируете на Java в стеке Spring, Spring Boot, Security
• знаете SQL и работали с реляционными базами данных
• аккуратны и внимательны к деталям
• умеете тестировать собственный код и пишете юнит-тесты
• самостоятельны в проработке технических и архитектурных решений

ВАШИ ЗАДАЧИ:
• разрабатывать инфраструктуру для настройки учетной системы Яндекса
• строить инфраструктуру автоматического сквозного тестирования от любого сервиса Яндекса до учетной системы
• погружаться в бизнес-процессы финансовой инфраструктуры
• развивать сервисы с помощью технологического стека: Java, PostgreSQL, Yandex.Deploy, YandexTable

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• работали с Docker
• применяли на практике методологию DevOps
• имеете опыт в разработке финансовых систем"
Руководитель команды инженеров данных DWH в Маркет,"Мы команда инженеров данных, и продукт нашей команды — Data WareHouse (хранилище данных), которое мы строим для нужд бизнес-подразделений. Нашими пользователями являются как руководители Маркета, которым нужна отчетность для принятия решений, так и эксперты в области глубокого анализа данных. Можно утверждать, что все бизнес-подразделения Маркета являются потребителями поставляемых нами данных.
Технологически ядро хранилища построено на системах хранения данных Yandex Tables (Hadoop собственной разработки), Greenplum и СlickHouse. Разработка процессов ETL идет на собственном фреймворке, который создан внутри Яндекса. Для организации модели хранения данных на разных уровнях применяются подходы от Data Lake до Data Vault.
Наше хранилище данных сейчас одно из самых крупных в России — порядка 10 петабайт — и с учетом темпов роста бизнеса оно будет самым большим. Стоит отметить, что к нему предъявляются высокие требования по надежности, что ставит перед нашей командой далеко не тривиальные задачи, для которых нет готовых решений.","• уверенно знаете Python на уровне написания собственного фреймворка
• знаете SQL на уровне оптимизации запросов
• проектировали DWH: слои, модели хранения данных, процессы ETL
• имеете опыт руководящей работы в роли лидера технической команды более года
• понимаете принципы работы хотя бы одной технологии распределенной обработки данных: Hadoop, MapReduce, ClickHouse, Greenplum, MPP","• управлять командой из 3-7 разработчиков
• отвечать за развитие команды и адаптацию новых сотрудников
• проводить собеседования и усиливать команду новыми разработчиками
• формировать техническую повестку развития ядра платформы хранения и обработки данных
• взаимодействовать с большим количеством смежных команд и пользователей","• имеете опыт промышленной разработки на одном из языков высокого уровня: Java или C++
• умеете работать в командной строке систем Unix-like: Linux, macOS","Руководитель команды инженеров данных DWH в Маркет

Мы команда инженеров данных, и продукт нашей команды — Data WareHouse (хранилище данных), которое мы строим для нужд бизнес-подразделений. Нашими пользователями являются как руководители Маркета, которым нужна отчетность для принятия решений, так и эксперты в области глубокого анализа данных. Можно утверждать, что все бизнес-подразделения Маркета являются потребителями поставляемых нами данных.
Технологически ядро хранилища построено на системах хранения данных Yandex Tables (Hadoop собственной разработки), Greenplum и СlickHouse. Разработка процессов ETL идет на собственном фреймворке, который создан внутри Яндекса. Для организации модели хранения данных на разных уровнях применяются подходы от Data Lake до Data Vault.
Наше хранилище данных сейчас одно из самых крупных в России — порядка 10 петабайт — и с учетом темпов роста бизнеса оно будет самым большим. Стоит отметить, что к нему предъявляются высокие требования по надежности, что ставит перед нашей командой далеко не тривиальные задачи, для которых нет готовых решений.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• уверенно знаете Python на уровне написания собственного фреймворка
• знаете SQL на уровне оптимизации запросов
• проектировали DWH: слои, модели хранения данных, процессы ETL
• имеете опыт руководящей работы в роли лидера технической команды более года
• понимаете принципы работы хотя бы одной технологии распределенной обработки данных: Hadoop, MapReduce, ClickHouse, Greenplum, MPP

ВАШИ ЗАДАЧИ:
• управлять командой из 3-7 разработчиков
• отвечать за развитие команды и адаптацию новых сотрудников
• проводить собеседования и усиливать команду новыми разработчиками
• формировать техническую повестку развития ядра платформы хранения и обработки данных
• взаимодействовать с большим количеством смежных команд и пользователей

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• имеете опыт промышленной разработки на одном из языков высокого уровня: Java или C++
• умеете работать в командной строке систем Unix-like: Linux, macOS"
Разработчик бэкенда в Путешествия,"Мы развиваем собственную платформу бронирования на Яндексе. Проводим эксперимент по интеграции сервисов Яндекса, чтобы улучшить опыт гостей в отелях: внедряем умные устройства и ТВ, Яндекс.Лавку, Яндекс.Еду, Яндекс.Такси, Медиасервисы. Ищем разработчика, который поможет нам решать самые масштабные задачи.","• разрабатывали сложные веб-приложения или системы обработки данных
• уверенно знаете любой из современных ЯП (Java, Python, С++, Go)
• умеете проектировать системы","• заниматься продуктовой разработкой traveltech-сервиса с нуля
• решать инфраструктурные задачи
• совместно с коллегами придумывать идеи по улучшению сервиса","• создавали и разрабатывали проекты с нуля
• разрабатывали высоконагруженные системы","Разработчик бэкенда в Путешествия

Мы развиваем собственную платформу бронирования на Яндексе. Проводим эксперимент по интеграции сервисов Яндекса, чтобы улучшить опыт гостей в отелях: внедряем умные устройства и ТВ, Яндекс.Лавку, Яндекс.Еду, Яндекс.Такси, Медиасервисы. Ищем разработчика, который поможет нам решать самые масштабные задачи.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• разрабатывали сложные веб-приложения или системы обработки данных
• уверенно знаете любой из современных ЯП (Java, Python, С++, Go)
• умеете проектировать системы

ВАШИ ЗАДАЧИ:
• заниматься продуктовой разработкой traveltech-сервиса с нуля
• решать инфраструктурные задачи
• совместно с коллегами придумывать идеи по улучшению сервиса

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• создавали и разрабатывали проекты с нуля
• разрабатывали высоконагруженные системы"
Разработчик в группу машинного обучения,"Наша группа занимается как непосредственно машинным обучением, так и технической инфраструктурой для него. Приходите, если любите ML и применяли его на практике, пишете «чистый» код и хотите разрабатывать инфраструктуру для проверки факторов.","• любите машинное обучение и применяли его на практике
• умеете и любите писать код, который легко читать, поддерживать и развивать","• разрабатывать новые факторы и оценивать пользу от них
• заниматься задачами машинного обучения для прогнозаторов: разрабатывать новые таргеты, способы регуляризации, факторы, методы оптимизации","• работали с большими данными
• умеете писать на PyTorch, YQL","Разработчик в группу машинного обучения

Наша группа занимается как непосредственно машинным обучением, так и технической инфраструктурой для него. Приходите, если любите ML и применяли его на практике, пишете «чистый» код и хотите разрабатывать инфраструктуру для проверки факторов.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• любите машинное обучение и применяли его на практике
• умеете и любите писать код, который легко читать, поддерживать и развивать

ВАШИ ЗАДАЧИ:
• разрабатывать новые факторы и оценивать пользу от них
• заниматься задачами машинного обучения для прогнозаторов: разрабатывать новые таргеты, способы регуляризации, факторы, методы оптимизации

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• работали с большими данными
• умеете писать на PyTorch, YQL"
Разработчик платформы на Java в Маркет,"Наша команда создает и поддерживает эффективные средства мониторинга и наблюдаемости приложений (Monitoring and Observability). Наши системы ежечасно обрабатывают миллиарды метрик, которые собираются с тысяч микросервисов. Эти данные необходимы для отслеживания состояния систем, распределенных по нескольким дата-центрам, и принятия решений командами, в которых трудятся более тысячи человек. Мы используем внутренние сервисы Яндекса и популярные публичные технологии Spring, ClickHouse, PostgreSQL, MongoDB и другие.
Мы ищем опытных разработчиков, которым интересно находить фундаментальные решения сложных задач, внося свой вклад в развитие по-настоящему масштабного бизнеса.","• имеете реальный опыт промышленной разработки коммерческих сервисов
• занимались разработкой на Java
• умеете тестировать свой код
• эффективно работаете в команде
• хорошо знаете Java Core","• участвовать в проектировании и разработке компонентов и средств, упрощающих работу внутренних команд
• придумывать новые инструменты, практики и способы влияния на KPI скорости, доступности и надежности
• обеспечивать доступность сервисов, повышать их надежность и безопасность
• развивать внутренние инструменты и системы обработки данных и отображения метрик","• разрабатывали многопоточные приложения
• создавали распределенные системы с микросервисной архитектурой
• понимаете специфику работы NoSQL- и реляционных баз данных в условиях бесконечного роста
• администрировали Linux-серверы и понимаете принципы работы ОС Linux
• имеете опыт работы с Python, Go, React.js, Redux","Разработчик платформы на Java в Маркет

Наша команда создает и поддерживает эффективные средства мониторинга и наблюдаемости приложений (Monitoring and Observability). Наши системы ежечасно обрабатывают миллиарды метрик, которые собираются с тысяч микросервисов. Эти данные необходимы для отслеживания состояния систем, распределенных по нескольким дата-центрам, и принятия решений командами, в которых трудятся более тысячи человек. Мы используем внутренние сервисы Яндекса и популярные публичные технологии Spring, ClickHouse, PostgreSQL, MongoDB и другие.
Мы ищем опытных разработчиков, которым интересно находить фундаментальные решения сложных задач, внося свой вклад в развитие по-настоящему масштабного бизнеса.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• имеете реальный опыт промышленной разработки коммерческих сервисов
• занимались разработкой на Java
• умеете тестировать свой код
• эффективно работаете в команде
• хорошо знаете Java Core

ВАШИ ЗАДАЧИ:
• участвовать в проектировании и разработке компонентов и средств, упрощающих работу внутренних команд
• придумывать новые инструменты, практики и способы влияния на KPI скорости, доступности и надежности
• обеспечивать доступность сервисов, повышать их надежность и безопасность
• развивать внутренние инструменты и системы обработки данных и отображения метрик

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• разрабатывали многопоточные приложения
• создавали распределенные системы с микросервисной архитектурой
• понимаете специфику работы NoSQL- и реляционных баз данных в условиях бесконечного роста
• администрировали Linux-серверы и понимаете принципы работы ОС Linux
• имеете опыт работы с Python, Go, React.js, Redux"
Аналитик-разработчик в Кью,"Сервис Яндекс.Кью — активно развивающаяся платформа. Ее качество в огромной степени зависит от экспертов Кью, которые отвечают на вопросы и проверяют контент. Сейчас комьюнити состоит из нескольких тысяч экспертов в десятках тематик. Мы ставим цель многократно увеличить это сообщество.","• владеете Python
• знаете основы тервера и матстата
• работали в продуктовой аналитике","• анализировать социальные взаимодействия
• анализировать бизнес-процессы
• участвовать в разработке моделей NLP",• владеете SQL,"Аналитик-разработчик в Кью

Сервис Яндекс.Кью — активно развивающаяся платформа. Ее качество в огромной степени зависит от экспертов Кью, которые отвечают на вопросы и проверяют контент. Сейчас комьюнити состоит из нескольких тысяч экспертов в десятках тематик. Мы ставим цель многократно увеличить это сообщество.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• владеете Python
• знаете основы тервера и матстата
• работали в продуктовой аналитике

ВАШИ ЗАДАЧИ:
• анализировать социальные взаимодействия
• анализировать бизнес-процессы
• участвовать в разработке моделей NLP

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• владеете SQL"
Разработчик интерфейсов в Директ,"Конструктор лендингов позволяет создавать лендинги и турбо-лендинги для Яндекс.Директа. За четыре года работы сервис помог создать и опубликовать десятки тысяч страниц, которые ежедневно посещают больше десяти миллионов пользователей. Мы ищем опытного и открытого новому фронтенд-разработчика.","• отлично знаете JavaScript и TypeScript
• разрабатывали на NodeJS, применяли фреймворк Express
• умеете создавать веб-приложения на React + Redux","• проектировать решения и приводить их до цели
• много писать на TypeScript и React","• участвовали в высоконагруженных проектах, имеете собственные oпенсорсные разработки
• писали тесты
• умеете разворачивать и администрировать веб-сервисы
• работали с реляционными базами данных (у нас PostgreSQL)
• владеете Unix shell и скриптовыми языками","Разработчик интерфейсов в Директ

Конструктор лендингов позволяет создавать лендинги и турбо-лендинги для Яндекс.Директа. За четыре года работы сервис помог создать и опубликовать десятки тысяч страниц, которые ежедневно посещают больше десяти миллионов пользователей. Мы ищем опытного и открытого новому фронтенд-разработчика.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• отлично знаете JavaScript и TypeScript
• разрабатывали на NodeJS, применяли фреймворк Express
• умеете создавать веб-приложения на React + Redux

ВАШИ ЗАДАЧИ:
• проектировать решения и приводить их до цели
• много писать на TypeScript и React

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• участвовали в высоконагруженных проектах, имеете собственные oпенсорсные разработки
• писали тесты
• умеете разворачивать и администрировать веб-сервисы
• работали с реляционными базами данных (у нас PostgreSQL)
• владеете Unix shell и скриптовыми языками"
Аналитик-разработчик в Путешествия,"Мы стремимся вывести Яндекс.Путешествия на новый уровень, чтобы пользователь мог запланировать и собрать идеальную поездку от начала и до конца прямо на сервисе. Чтобы достичь цели, мы проводим и анализируем эксперименты, глубоко исследуем аудиторию и рынок путешествий, проверяем продуктовые гипотезы менеджеров и предлагаем свои. Ищем аналитика-разработчика, который поможет нам в этом.","• работали в направлении data-инженерии больше трех лет
• отлично знаете Python и SQL
• способны решать сложные задачи","• проводить эксперименты и исследования
• собирать кубы для аналитических задач
• активно работать с различными источниками данных и с продуктовыми метриками
• совместно с коллегами придумывать идеи по улучшению сервиса",• работали с C++,"Аналитик-разработчик в Путешествия

Мы стремимся вывести Яндекс.Путешествия на новый уровень, чтобы пользователь мог запланировать и собрать идеальную поездку от начала и до конца прямо на сервисе. Чтобы достичь цели, мы проводим и анализируем эксперименты, глубоко исследуем аудиторию и рынок путешествий, проверяем продуктовые гипотезы менеджеров и предлагаем свои. Ищем аналитика-разработчика, который поможет нам в этом.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• работали в направлении data-инженерии больше трех лет
• отлично знаете Python и SQL
• способны решать сложные задачи

ВАШИ ЗАДАЧИ:
• проводить эксперименты и исследования
• собирать кубы для аналитических задач
• активно работать с различными источниками данных и с продуктовыми метриками
• совместно с коллегами придумывать идеи по улучшению сервиса

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• работали с C++"
Системный аналитик DWH в Маркет,"Команда DWH Маркета строит гибкую платформу управления данными, которая станет единым источником знаний о бизнесе и позволит отвечать на любые вопросы о нем. Мы ищем системных аналитиков всех уровней, которым интересна детективная романтика исследования данных, поиск взаимосвязей и построение аналитического продукта.","• умеете видеть за числами физический смысл и находить причины явлений
• владеете SQL на уровне native speaker
• имеете опыт работы с хранилищами данных","• извлекать из сырых данных ценную информацию и аккуратно упаковывать ее в удобные для анализа объекты
• развивать процесс потребления данных, работать с данными на всех этапах их трансформации — от появления информации в конкретном источнике до монетизации полученных знаний","• имеете опыт работы с большими данными
• знаете Python
• имеете опыт построения отчетов и визуализации при помощи Tableau","Системный аналитик DWH в Маркет

Команда DWH Маркета строит гибкую платформу управления данными, которая станет единым источником знаний о бизнесе и позволит отвечать на любые вопросы о нем. Мы ищем системных аналитиков всех уровней, которым интересна детективная романтика исследования данных, поиск взаимосвязей и построение аналитического продукта.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• умеете видеть за числами физический смысл и находить причины явлений
• владеете SQL на уровне native speaker
• имеете опыт работы с хранилищами данных

ВАШИ ЗАДАЧИ:
• извлекать из сырых данных ценную информацию и аккуратно упаковывать ее в удобные для анализа объекты
• развивать процесс потребления данных, работать с данными на всех этапах их трансформации — от появления информации в конкретном источнике до монетизации полученных знаний

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• имеете опыт работы с большими данными
• знаете Python
• имеете опыт построения отчетов и визуализации при помощи Tableau"
Разработчик бэкенда в команду коммуникационной платформы,"Наши коммуникационные сервисы ежедневно обрабатывают сотни тысяч звонков подразделений Яндекса и клиентов компании. Например, звонки службы такси или курьера Маркета, вероятнее всего, обслуживаем мы. Помимо телефонии, наша платформа умеет трансформировать текстовые сообщения в мессенджерах в голосовые и наоборот. А еще мы решаем множество инфраструктурных задач.
Мы расширяемся и ищем разработчиков бэкенда. Ждем кандидатов с опытом продакшен-разработки на JVM или Golang.","• разрабатывали на JVM, Golang или С++ и готовы перейти на JVM и Golang
• понимаете принципы работы реляционных и NoSQL-баз данных
• имеете базовые навыки работы в Unix-системах
• проектировали и разрабатывали высоконагруженные и распределенные сервисы","• развивать одно из направлений:
   — коммуникационную платформу — основу всех наших сервисов. Мы используем Golang, Kotlin и DevOps в части развертывания сервисов в Yandex.Cloud, настройки балансеров и т. д.
   — текущие сервисы: виртуальную АТС для малого бизнеса и сервисов обслуживания колл-центров внутри Яндекса. Здесь еще больше инфраструктурных задач, а к языкам программирования добавляется TypeScript
• использовать устоявшиеся практики разработки высоконагруженных систем: метрики, логи, микросервисную архитектуру
• работать спринтами, поддерживать CI","• знакомы со стеком SIP-телефонии
• разрабатывали серверные приложения на Kotlin или Golang
• работали с TypeScript
• имеете опыт разработки для облачных систем
• разбираетесь в PostgreSQL, ZooKeeper, ClickHouse, Redis","Разработчик бэкенда в команду коммуникационной платформы

Наши коммуникационные сервисы ежедневно обрабатывают сотни тысяч звонков подразделений Яндекса и клиентов компании. Например, звонки службы такси или курьера Маркета, вероятнее всего, обслуживаем мы. Помимо телефонии, наша платформа умеет трансформировать текстовые сообщения в мессенджерах в голосовые и наоборот. А еще мы решаем множество инфраструктурных задач.
Мы расширяемся и ищем разработчиков бэкенда. Ждем кандидатов с опытом продакшен-разработки на JVM или Golang.

НАШИ ТРЕБОВАНИЯ К ВАМ:
• разрабатывали на JVM, Golang или С++ и готовы перейти на JVM и Golang
• понимаете принципы работы реляционных и NoSQL-баз данных
• имеете базовые навыки работы в Unix-системах
• проектировали и разрабатывали высоконагруженные и распределенные сервисы

ВАШИ ЗАДАЧИ:
• развивать одно из направлений:
   — коммуникационную платформу — основу всех наших сервисов. Мы используем Golang, Kotlin и DevOps в части развертывания сервисов в Yandex.Cloud, настройки балансеров и т. д.
   — текущие сервисы: виртуальную АТС для малого бизнеса и сервисов обслуживания колл-центров внутри Яндекса. Здесь еще больше инфраструктурных задач, а к языкам программирования добавляется TypeScript
• использовать устоявшиеся практики разработки высоконагруженных систем: метрики, логи, микросервисную архитектуру
• работать спринтами, поддерживать CI

БУДЕТ ПЛЮСОМ ДЛЯ ВАС:
• знакомы со стеком SIP-телефонии
• разрабатывали серверные приложения на Kotlin или Golang
• работали с TypeScript
• имеете опыт разработки для облачных систем
• разбираетесь в PostgreSQL, ZooKeeper, ClickHouse, Redis"
